id;csapatNev;menendzser;orszag
1;Real Madrid;Carlo Ancelotti;Spanyolország
2;Manchester City;Pep Guardiola;Anglia
3;Bayern München ;Julian Nagelsmann;Németország
4;Paris Saint-Germain;Mauricio Pochettino;Franciaország
5;Liverpool;Jürgen Klopp;Anglia
6;FC Barcelona;Xavi Hernandez;Spanyolország
7;Juventus;Massimiliano Allegri;Olaszország
8;Manchester United;Ralf Rangnick;Anglia
9;Chelsea;Thomas Tuchel;Anglia
10;Borussia Dortmund;Marco Rose;Németország
11;Inter Milan;Simone Inzaghi;Olaszország
12;Atletico Madrid;Diego Simeone;Spanyolország
13;AC Milan;Stefano Pioli;Olaszország
14;Arsenal;Mikel Arteta;Anglia
15;Ajax;ten Hag;Hollandia
16;RB Leipzig;Jesse Marsch;Németország
17;Sevilla FC;Julen Lopetegui;Spanyolország
18;Napoli;Luciano Spalletti;Olaszország
19;Tottenham Hotspur;Antonio Conte;Anglia
20;AS Roma;Jose Mourinho;Olaszország
